SchemeCode,Date,NAV
110607,2011-01-11,12.48000
110607,2011-01-12,12.75000
110607,2011-01-13,12.53000
110607,2011-01-14,12.30000
110607,2011-01-17,12.27000
110607,2011-01-18,12.42000
110607,2011-01-19,12.37000
110607,2011-01-20,12.41000
110607,2011-01-21,12.38000
110607,2011-01-24,12.50000
110607,2011-01-25,12.35000
110607,2011-01-27,12.13000
110607,2011-01-28,11.89000
110607,2011-01-31,11.87000
110607,2011-02-01,11.67000
110607,2011-02-02,11.73000
110607,2011-02-03,11.93000
110607,2011-02-04,11.66000
110607,2011-02-07,11.67000
110607,2011-02-08,11.45000
110607,2011-02-09,11.28000
110607,2011-02-10,11.26000
110607,2011-02-11,11.48000
110607,2011-02-14,11.82000
110607,2011-02-15,11.84000
110607,2011-02-16,11.81000
110607,2011-02-17,11.94000
110607,2011-02-18,11.74000
110607,2011-02-21,11.84000
110607,2011-02-22,11.72000
110607,2011-02-23,11.60000
110607,2011-02-24,11.23000
110607,2011-02-25,11.34000
110607,2011-02-28,11.41000
110607,2011-03-01,11.84000
110607,2011-03-03,11.88000
110607,2011-03-04,11.91000
110607,2011-03-07,11.72000
110607,2011-03-08,11.87000
110607,2011-03-09,11.87000
110607,2011-03-10,11.79000
110607,2011-03-11,11.65000
110607,2011-03-14,11.82000
110607,2011-03-15,11.65000
110607,2011-03-16,11.80000
110607,2011-03-17,11.67000
110607,2011-03-18,11.53000
110607,2011-03-21,11.51000
110607,2011-03-22,11.61000
110607,2011-03-23,11.73000
110607,2011-03-24,11.83000
110607,2011-03-25,12.08000
110607,2011-03-28,12.13000
110607,2011-03-29,12.22000
110607,2011-03-30,12.33000
110607,2011-03-31,12.37000
110607,2011-04-01,12.36000
110607,2011-04-04,12.55000
110607,2011-04-05,12.57000
110607,2011-04-06,12.56000
110607,2011-04-07,12.58000
110607,2011-04-08,12.50000
110607,2011-04-11,12.42000
110607,2011-04-13,12.63000
110607,2011-04-15,12.49000
110607,2011-04-18,12.28000
110607,2011-04-19,12.32000
110607,2011-04-20,12.60000
110607,2011-04-21,12.60000
110607,2011-04-25,12.60000
110607,2011-04-26,12.58000
110607,2011-04-27,12.55000
110607,2011-04-28,12.47000
110607,2011-04-29,12.40000
110607,2011-05-02,12.33000
110607,2011-05-03,12.08000
110607,2011-05-04,12.00000
110607,2011-05-05,11.88000
110607,2011-05-06,12.07000
110607,2011-05-09,12.10000
110607,2011-05-10,12.08000
110607,2011-05-11,12.13000
110607,2011-05-12,11.98000
110607,2011-05-13,12.09000
110607,2011-05-16,12.02000
110607,2011-05-17,11.96000
110607,2011-05-18,11.89000
110607,2011-05-19,11.88000
110607,2011-05-20,11.98000
110607,2011-05-23,11.80000
110607,2011-05-24,11.81000
110607,2011-05-25,11.75000
110607,2011-05-26,11.87000
110607,2011-05-27,11.99000
110607,2011-05-30,12.02000
110607,2011-05-31,12.21000
110607,2011-06-01,12.24000
110607,2011-06-02,12.17000
110607,2011-06-03,12.09000
110607,2011-06-06,12.12000
110607,2011-06-07,12.20000
110607,2011-06-08,12.16000
110607,2011-06-09,12.15000
110607,2011-06-10,12.10000
110607,2011-06-13,12.10000
110607,2011-06-14,12.17000
110607,2011-06-15,12.08000
110607,2011-06-16,11.98000
110607,2011-06-17,11.87000
110607,2011-06-20,11.63000
110607,2011-06-21,11.65000
110607,2011-06-22,11.64000
110607,2011-06-23,11.70000
110607,2011-06-24,11.99000
110607,2011-06-27,12.11000
110607,2011-06-28,12.15000
110607,2011-06-29,12.27000
110607,2011-06-30,12.34000
110607,2011-07-01,12.30000
110607,2011-07-04,12.35000
110607,2011-07-05,12.31000
110607,2011-07-06,12.31000
110607,2011-07-07,12.52000
110607,2011-07-08,12.35000
110607,2011-07-11,12.26000
110607,2011-07-12,12.08000
110607,2011-07-13,12.22000
110607,2011-07-14,12.25000
110607,2011-07-15,12.21000
110607,2011-07-18,12.17000
110607,2011-07-19,12.27000
110607,2011-07-20,12.18000
110607,2011-07-21,12.15000
110607,2011-07-22,12.35000
110607,2011-07-25,12.45000
110607,2011-07-26,12.25000
110607,2011-07-27,12.22000
110607,2011-07-28,12.13000
110607,2011-07-29,12.16000
110607,2011-08-01,12.23000
110607,2011-08-02,12.11000
110607,2011-08-03,11.99000
110607,2011-08-04,11.84000
110607,2011-08-05,11.62000
110607,2011-08-08,11.42000
110607,2011-08-09,11.31000
110607,2011-08-10,11.49000
110607,2011-08-11,11.43000
110607,2011-08-12,11.30000
110607,2011-08-16,11.28000
110607,2011-08-17,11.33000
110607,2011-08-18,11.09000
110607,2011-08-19,10.88000
110607,2011-08-22,10.97000
110607,2011-08-23,11.10000
110607,2011-08-24,10.97000
110607,2011-08-25,10.89000
110607,2011-08-26,10.71000
110607,2011-08-29,11.04000
110607,2011-08-30,11.20000
110607,2011-09-02,11.30000
110607,2011-09-05,11.25000
110607,2011-09-06,11.33000
110607,2011-09-07,11.42000
110607,2011-09-08,11.48000
110607,2011-09-09,11.30000
110607,2011-09-12,11.07000
110607,2011-09-13,11.03000
110607,2011-09-14,11.17000
110607,2011-09-15,11.30000
110607,2011-09-16,11.33000
110607,2011-09-19,11.21000
110607,2011-09-20,11.44000
110607,2011-09-21,11.44000
110607,2011-09-22,10.99000
110607,2011-09-23,10.86000
110607,2011-09-26,10.76000
110607,2011-09-27,11.04000
110607,2011-09-28,11.00000
110607,2011-09-29,11.13000
110607,2011-09-30,11.00000
110607,2011-10-03,10.82000
110607,2011-10-04,10.63000
110607,2011-10-05,10.59000
110607,2011-10-07,10.84000
110607,2011-10-10,11.04000
110607,2011-10-11,11.02000
110607,2011-10-12,11.29000
110607,2011-10-13,11.26000
110607,2011-10-14,11.39000
110607,2011-10-17,11.37000
110607,2011-10-18,11.19000
110607,2011-10-19,11.40000
110607,2011-10-20,11.33000
110607,2011-10-21,11.25000
110607,2011-10-24,11.36000
110607,2011-10-25,11.52000
110607,2011-10-28,11.86000
110607,2011-10-31,11.81000
110607,2011-11-01,11.65000
110607,2011-11-02,11.64000
110607,2011-11-03,11.64000
110607,2011-11-04,11.69000
110607,2011-11-08,11.70000
110607,2011-11-09,11.56000
110607,2011-11-11,11.46000
110607,2011-11-14,11.42000
110607,2011-11-15,11.26000
110607,2011-11-16,11.20000
110607,2011-11-17,11.02000
110607,2011-11-18,10.92000
110607,2011-11-21,10.67000
110607,2011-11-22,10.71000
110607,2011-11-23,10.50000
110607,2011-11-24,10.63000
110607,2011-11-25,10.54000
110607,2011-11-28,10.80000
110607,2011-11-29,10.72000
110607,2011-11-30,10.77000
110607,2011-12-01,10.98000
110607,2011-12-02,11.20000
110607,2011-12-05,11.16000
110607,2011-12-07,11.17000
110607,2011-12-08,10.93000
110607,2011-12-09,10.77000
110607,2011-12-12,10.57000
110607,2011-12-13,10.66000
110607,2011-12-14,10.60000
110607,2011-12-15,10.56000
110607,2011-12-16,10.37000
110607,2011-12-19,10.29000
110607,2011-12-20,10.17000
110607,2011-12-21,10.44000
110607,2011-12-22,10.52000
110607,2011-12-23,10.48000
110607,2011-12-26,10.62000
110607,2011-12-27,10.55000
110607,2011-12-28,10.47000
110607,2011-12-29,10.37000
110607,2011-12-30,10.33000
110608,2011-01-03,13.46000
110608,2011-01-04,13.42000
110608,2011-01-05,13.27000
110608,2011-01-06,13.21000
110608,2011-01-07,12.89000
110608,2011-01-10,12.57000
110608,2011-01-11,12.54000
110608,2011-01-12,12.81000
110608,2011-01-13,12.59000
110608,2011-01-14,12.36000
110608,2011-01-17,12.33000
110608,2011-01-18,12.48000
110608,2011-01-19,12.43000
110608,2011-01-20,12.47000
110608,2011-01-21,12.44000
110608,2011-01-24,12.56000
110608,2011-01-25,12.40000
110608,2011-01-27,12.18000
110608,2011-01-28,11.94000
110608,2011-01-31,11.92000
110608,2011-02-01,11.73000
110608,2011-02-02,11.78000
110608,2011-02-03,11.99000
110608,2011-02-04,11.72000
110608,2011-02-07,11.72000
110608,2011-02-08,11.51000
110608,2011-02-09,11.33000
110608,2011-02-10,11.32000
110608,2011-02-11,11.53000
110608,2011-02-14,11.87000
110608,2011-02-15,11.90000
110608,2011-02-16,11.87000
110608,2011-02-17,12.00000
110608,2011-02-18,11.80000
110608,2011-02-21,11.89000
110608,2011-02-22,11.78000
110608,2011-02-23,11.65000
110608,2011-02-24,11.29000
110608,2011-02-25,11.40000
110608,2011-02-28,11.46000
110608,2011-03-01,11.90000
110608,2011-03-03,11.94000
110608,2011-03-04,11.97000
110608,2011-03-07,11.77000
110608,2011-03-08,11.93000
110608,2011-03-09,11.93000
110608,2011-03-10,11.85000
110608,2011-03-11,11.71000
110608,2011-03-14,11.88000
110608,2011-03-15,11.71000
110608,2011-03-16,11.86000
110608,2011-03-17,11.73000
110608,2011-03-18,11.58000
110608,2011-03-21,11.57000
110608,2011-03-22,11.67000
110608,2011-03-23,11.79000
110608,2011-03-24,11.89000
110608,2011-03-25,12.14000
110608,2011-03-28,12.20000
110608,2011-03-29,12.29000
110608,2011-03-30,12.39000
110608,2011-03-31,12.43000
110608,2011-04-01,12.42000
110608,2011-04-04,12.62000
110608,2011-04-05,12.64000
110608,2011-04-06,12.63000
110608,2011-04-07,12.64000
110608,2011-04-08,12.56000
110608,2011-04-11,12.48000
110608,2011-04-13,12.69000
110608,2011-04-15,12.55000
110608,2011-04-18,12.34000
110608,2011-04-19,12.38000
110608,2011-04-20,12.66000
