SchemeCode,AMC,SchemeType,CategoryRaw,Category,SubCategory
126560,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
126561,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
126562,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
126563,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
126564,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
126565,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
126566,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
126567,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
126641,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
126642,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
126643,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
126644,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
126665,Kotak Mahindra Mutual Fund,IL&FS Mutual Fund,IDF,IDF,
126666,Kotak Mahindra Mutual Fund,IL&FS Mutual Fund,IDF,IDF,
126675,ICICI Prudential Mutual Fund,141581;INF179KB1V39;-;HDFC EOF - II - 1100D June 2017,1,1,
126676,ICICI Prudential Mutual Fund,141581;INF179KB1V39;-;HDFC EOF - II - 1100D June 2017,1,1,
126677,ICICI Prudential Mutual Fund,141581;INF179KB1V39;-;HDFC EOF - II - 1100D June 2017,1,1,
126678,ICICI Prudential Mutual Fund,141581;INF179KB1V39;-;HDFC EOF - II - 1100D June 2017,1,1,
126685,Canara Robeco Mutual Fund,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,Debt,Corporate Bond Fund
126686,Canara Robeco Mutual Fund,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,Debt,Corporate Bond Fund
126687,Canara Robeco Mutual Fund,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,Debt,Corporate Bond Fund
126688,Canara Robeco Mutual Fund,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,Debt,Corporate Bond Fund
126701,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
126702,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
126703,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
126801,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
126802,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
126803,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
126804,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
126815,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
126816,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
126817,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
126829,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
126830,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
126831,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
126832,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
126873,Kotak Mahindra Mutual Fund,IL&FS Mutual Fund,IDF,IDF,
126874,Kotak Mahindra Mutual Fund,IL&FS Mutual Fund,IDF,IDF,
126889,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
126891,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
126898,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
126899,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
126900,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
126901,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
126902,ICICI Prudential Mutual Fund,Close Ended Schemes,Income,Income,
126903,ICICI Prudential Mutual Fund,Close Ended Schemes,Income,Income,
126904,ICICI Prudential Mutual Fund,Close Ended Schemes,Income,Income,
126905,ICICI Prudential Mutual Fund,Close Ended Schemes,Income,Income,
126927,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
126928,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
126929,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
126931,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
126932,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
126934,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
126939,UTI Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Debt,Banking and PSU Fund
126940,UTI Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Debt,Banking and PSU Fund
126941,UTI Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Debt,Banking and PSU Fund
126942,UTI Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Debt,Banking and PSU Fund
126975,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
126976,Reliance Mutual Fund,Close Ended Schemes,Income,Income,
126977,Reliance Mutual Fund,Close Ended Schemes,Income,Income,
126978,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127031,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
127032,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
127033,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
127039,Motilal Oswal Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,Equity,Mid Cap Fund
127040,Motilal Oswal Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,Equity,Mid Cap Fund
127042,Motilal Oswal Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,Equity,Mid Cap Fund
127044,Motilal Oswal Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,Equity,Mid Cap Fund
127049,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
127050,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
127051,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
127052,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
127066,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127067,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127068,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127069,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127070,HSBC Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,Other,FoF Overseas
127071,HSBC Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,Other,FoF Overseas
127072,HSBC Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,Other,FoF Overseas
127073,HSBC Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,Other,FoF Overseas
127080,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127081,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127082,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127083,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127126,Kotak Mahindra Mutual Fund,IL&FS Mutual Fund,IDF,IDF,
127127,Kotak Mahindra Mutual Fund,IL&FS Mutual Fund,IDF,IDF,
127128,Kotak Mahindra Mutual Fund,IL&FS Mutual Fund,IDF,IDF,
127129,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
127131,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
127132,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
127227,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
127228,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
127229,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
127230,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
127231,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
127233,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
127235,ICICI Prudential Mutual Fund,Open Ended Schemes,Income,Income,
127236,ICICI Prudential Mutual Fund,Open Ended Schemes,Income,Income,
127238,ICICI Prudential Mutual Fund,Open Ended Schemes,Income,Income,
127239,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127240,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127241,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127242,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127255,Kotak Mahindra Mutual Fund,IL&FS Mutual Fund,IDF,IDF,
127256,Kotak Mahindra Mutual Fund,IL&FS Mutual Fund,IDF,IDF,
127257,Kotak Mahindra Mutual Fund,IL&FS Mutual Fund,IDF,IDF,
127258,Kotak Mahindra Mutual Fund,IL&FS Mutual Fund,IDF,IDF,
127259,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
127260,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
127261,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
127262,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
127264,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127266,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127268,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127269,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127270,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127271,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127351,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
127352,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
127354,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
127359,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127360,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127361,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127362,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127387,Kotak Mahindra Mutual Fund,IL&FS Mutual Fund,IDF,IDF,
127388,Kotak Mahindra Mutual Fund,IL&FS Mutual Fund,IDF,IDF,
127389,Kotak Mahindra Mutual Fund,Close Ended Schemes,Income,Income,
127390,Kotak Mahindra Mutual Fund,Close Ended Schemes,Income,Income,
127399,ICICI Prudential Mutual Fund,Open Ended Schemes,Income,Income,
127400,Kotak Mahindra Mutual Fund,IL&FS Mutual Fund,IDF,IDF,
127401,Kotak Mahindra Mutual Fund,IL&FS Mutual Fund,IDF,IDF,
127402,Kotak Mahindra Mutual Fund,Close Ended Schemes,Income,Income,
127403,Kotak Mahindra Mutual Fund,IL&FS Mutual Fund,IDF,IDF,
127470,Bandhan Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Debt,Banking and PSU Fund
127471,Bandhan Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Debt,Banking and PSU Fund
127522,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127523,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127525,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127537,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127538,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127540,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127541,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127542,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127543,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127544,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127545,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127546,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127547,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127617,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
127618,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
127619,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
127628,ICICI Prudential Mutual Fund,Close Ended Schemes,Growth,Growth,
127629,ICICI Prudential Mutual Fund,Close Ended Schemes,Growth,Growth,
127650,Kotak Mahindra Mutual Fund,IL&FS Mutual Fund,IDF,IDF,
127651,Kotak Mahindra Mutual Fund,IL&FS Mutual Fund,IDF,IDF,
127652,Kotak Mahindra Mutual Fund,IL&FS Mutual Fund,IDF,IDF,
127712,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
127714,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
127716,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
127717,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
127718,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
127720,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
127721,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
127722,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
127724,ICICI Prudential Mutual Fund,Close Ended Schemes,Income,Income,
127725,ICICI Prudential Mutual Fund,141923;INF179KB1W87;-;HDFC HOF - I - 1140D November 2017,1,1,
127726,ICICI Prudential Mutual Fund,Close Ended Schemes,Income,Income,
127727,ICICI Prudential Mutual Fund,Close Ended Schemes,Income,Income,
127732,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127733,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127734,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127735,Reliance Mutual Fund,135488;INF174K01Y15;-;Kotak FMP Series 180,1099 Days,1099 Days,
127806,Kotak Mahindra Mutual Fund,IL&FS Mutual Fund,IDF,IDF,
