SchemeCode,Date,NAV
101065,2006-12-06,25.44510
101065,2006-12-07,25.53110
101065,2006-12-08,25.41390
101065,2006-12-11,24.86580
101065,2006-12-12,24.19930
101065,2006-12-13,24.57000
101065,2006-12-14,25.00150
101065,2006-12-15,25.12500
101065,2006-12-18,25.08930
101065,2006-12-19,24.68750
101065,2006-12-20,24.59970
101065,2006-12-21,24.70220
101065,2006-12-22,24.86410
101065,2006-12-26,25.07080
101065,2006-12-27,25.21190
101065,2006-12-28,25.22140
101065,2006-12-29,25.20380
101066,2006-04-03,15.67110
101066,2006-04-04,15.69410
101066,2006-04-05,15.84380
101066,2006-04-07,15.75270
101066,2006-04-10,15.86240
101066,2006-04-12,15.64910
101066,2006-04-13,15.49070
101066,2006-04-17,15.75930
101066,2006-04-18,15.85400
101066,2006-04-19,15.95950
101066,2006-04-20,16.09710
101066,2006-04-21,16.12720
101066,2006-04-24,15.99400
101066,2006-04-25,15.77660
101066,2006-04-26,15.98840
101066,2006-04-27,15.96540
101066,2006-04-28,16.04560
101066,2006-05-02,16.33130
101066,2006-05-03,16.34390
101066,2006-05-04,16.29450
101066,2006-05-05,16.36190
101066,2006-05-08,16.44480
101066,2006-05-09,16.52700
101066,2006-05-10,16.56400
101066,2006-05-11,16.41290
101066,2006-05-12,16.23950
101066,2006-05-15,15.81120
101066,2006-05-16,15.83340
101066,2006-05-17,16.11050
101066,2006-05-18,15.29130
101066,2006-05-19,14.88260
101066,2006-05-22,14.38070
101066,2006-05-23,14.59960
101066,2006-05-24,14.43910
101066,2006-05-25,14.46930
101066,2006-05-26,14.66410
101066,2006-05-29,14.71170
101066,2006-05-30,14.69810
101066,2006-05-31,14.41820
101066,2006-06-01,14.07300
101066,2006-06-02,14.27670
101066,2006-06-05,14.11740
101066,2006-06-06,13.79740
101066,2006-06-07,13.42790
101066,2006-06-08,13.02640
101066,2006-06-09,13.48780
101066,2006-06-12,13.20730
101066,2006-06-13,12.78060
101066,2006-06-14,12.72890
101066,2006-06-15,13.05960
101066,2006-06-16,13.25870
101066,2006-06-19,13.48240
101066,2006-06-20,13.45350
101066,2006-06-21,13.66960
101066,2006-06-22,13.72040
101066,2006-06-23,13.76940
101066,2006-06-26,13.47940
101066,2006-06-27,13.47940
101066,2006-06-28,13.43110
101066,2006-06-29,13.45320
101066,2006-06-30,13.71330
101066,2006-07-03,13.73580
101066,2006-07-04,13.71130
101066,2006-07-05,13.83400
101066,2006-07-06,13.78740
101066,2006-07-07,13.61010
101066,2006-07-10,13.69440
101066,2006-07-11,13.70400
101066,2006-07-12,13.81600
101066,2006-07-13,13.83290
101066,2006-07-14,13.77490
101066,2006-07-17,13.54140
101066,2006-07-18,13.44060
101066,2006-07-19,13.23660
101066,2006-07-20,13.41190
101066,2006-07-21,13.20920
101066,2006-07-24,13.11930
101066,2006-07-25,13.27440
101066,2006-07-26,13.39750
101066,2006-07-27,13.44770
101066,2006-07-28,13.45700
101066,2006-07-31,13.34270
101066,2006-08-01,13.32520
101066,2006-08-02,13.35970
101066,2006-08-03,13.34420
101066,2006-08-04,13.30530
101066,2006-08-07,13.33050
101066,2006-08-08,13.34410
101066,2006-08-09,13.40010
101066,2006-08-10,13.44560
101066,2006-08-11,13.48540
101066,2006-08-14,13.53490
101066,2006-08-16,13.61790
101066,2006-08-17,13.51280
101066,2006-08-18,13.54310
101066,2006-08-21,13.58200
101066,2006-08-22,13.41530
101066,2006-08-23,13.36170
101066,2006-08-24,13.46840
101066,2006-08-25,13.50670
101066,2006-08-28,13.54090
101066,2006-08-29,13.55330
101066,2006-08-30,13.56720
101066,2006-08-31,13.56140
101066,2006-09-01,13.58890
101066,2006-09-04,13.62470
101066,2006-09-05,13.67530
101066,2006-09-06,13.71810
101066,2006-09-07,13.71010
101066,2006-09-08,13.72530
101066,2006-09-11,13.53960
101066,2006-09-12,13.57530
101066,2006-09-13,13.65300
101066,2006-09-14,13.65200
101066,2006-09-15,13.67980
101066,2006-09-18,13.73670
101066,2006-09-19,13.64710
101066,2006-09-20,13.67860
101066,2006-09-21,13.73890
101066,2006-09-22,13.75050
101066,2006-09-25,13.75100
101066,2006-09-26,13.74350
101066,2006-09-27,13.74350
101066,2006-09-28,13.65990
101066,2006-09-29,13.72700
101066,2006-10-03,13.73320
101066,2006-10-04,13.66130
101066,2006-10-05,13.74530
101066,2006-10-06,13.78280
101066,2006-10-09,13.80740
101066,2006-10-10,13.81770
101066,2006-10-11,13.73880
101066,2006-10-12,13.79230
101066,2006-10-13,13.81740
101066,2006-10-16,13.81610
101066,2006-10-17,13.77900
101066,2006-10-18,13.79590
101066,2006-10-19,13.74400
101066,2006-10-20,13.74820
101066,2006-10-23,13.76770
101066,2006-10-26,13.66910
101066,2006-10-27,13.71900
101066,2006-10-30,13.74110
101066,2006-10-31,13.74970
101066,2006-11-01,13.82130
101066,2006-11-02,13.84290
101066,2006-11-03,13.88950
101066,2006-11-06,13.96980
101066,2006-11-07,13.95880
101066,2006-11-08,13.89140
101066,2006-11-09,13.91090
101066,2006-11-10,13.96560
101066,2006-11-13,14.04340
101066,2006-11-14,13.99350
101066,2006-11-15,13.99370
101066,2006-11-16,14.02890
101066,2006-11-17,13.95840
101066,2006-11-20,13.88020
101066,2006-11-21,13.94440
101066,2006-11-22,14.00320
101066,2006-11-23,14.00130
101066,2006-11-24,14.05020
101066,2006-11-27,14.09830
101066,2006-11-28,14.02030
101066,2006-11-29,14.05660
101066,2006-11-30,14.14150
101066,2006-12-01,14.21800
101066,2006-12-04,14.34820
101066,2006-12-05,14.35550
101066,2006-12-06,14.29040
101066,2006-12-07,14.33870
101066,2006-12-08,14.27290
101066,2006-12-11,13.96510
101066,2006-12-12,13.59070
101066,2006-12-13,13.80010
101066,2006-12-14,14.04240
101066,2006-12-15,14.11180
101066,2006-12-18,14.09170
101066,2006-12-19,13.86600
101066,2006-12-20,13.81670
101066,2006-12-21,13.87430
101066,2006-12-22,13.96520
101066,2006-12-26,14.08130
101066,2006-12-27,14.16060
101066,2006-12-28,14.16590
101066,2006-12-29,14.15600
101069,2006-04-03,14.02370
101069,2006-04-04,14.11580
101069,2006-04-05,14.28680
101069,2006-04-07,14.21400
101069,2006-04-10,14.26200
101069,2006-04-12,14.05380
101069,2006-04-13,13.92030
101069,2006-04-17,14.13040
101069,2006-04-18,14.21080
101069,2006-04-19,14.28470
101069,2006-04-20,14.35290
101069,2006-04-21,14.37360
101069,2006-04-24,14.38480
101069,2006-04-25,14.15440
101069,2006-04-26,14.36640
101069,2006-04-27,14.30190
101069,2006-04-28,14.46290
101069,2006-05-02,14.76880
101069,2006-05-03,14.78950
101069,2006-05-04,14.75850
101069,2006-05-05,14.82020
101069,2006-05-08,14.85290
101069,2006-05-09,14.91420
101069,2006-05-10,14.98150
101069,2006-05-11,14.85730
101069,2006-05-12,14.74920
101069,2006-05-15,14.31590
101069,2006-05-16,14.35030
101069,2006-05-17,14.57830
101069,2006-05-18,13.81780
101069,2006-05-19,13.42140
101069,2006-05-22,13.09340
101069,2006-05-23,13.39950
101069,2006-05-24,13.25420
101069,2006-05-25,13.26520
101069,2006-05-26,13.42520
101069,2006-05-29,13.42710
101069,2006-05-30,13.48890
101069,2006-05-31,13.19800
101069,2006-06-01,12.85720
101069,2006-06-02,13.02730
101069,2006-06-05,12.86840
101069,2006-06-06,12.57660
101069,2006-06-07,12.26190
101069,2006-06-08,11.84820
101069,2006-06-09,12.25210
101069,2006-06-12,11.99450
101069,2006-06-13,11.66410
101069,2006-06-14,11.62360
101069,2006-06-15,11.97400
101069,2006-06-16,12.21480
101069,2006-06-19,12.35380
101069,2006-06-20,12.28610
101069,2006-06-21,12.45820
101069,2006-06-22,12.65630
101069,2006-06-23,12.70430
101069,2006-06-26,12.38630
101069,2006-06-27,12.44410
101069,2006-06-28,12.40850
101069,2006-06-29,12.41500
101069,2006-06-30,12.81130
101069,2006-07-03,12.85910
101069,2006-07-04,12.78980
101069,2006-07-05,12.99260
101069,2006-07-06,12.88870
101069,2006-07-07,12.64470
101069,2006-07-10,12.74380
101069,2006-07-11,12.72850
101069,2006-07-12,12.88890
101069,2006-07-13,12.90680
101069,2006-07-14,12.79940
101069,2006-07-17,12.47880
101069,2006-07-18,12.41050
101069,2006-07-19,12.17420
101069,2006-07-20,12.43030
101069,2006-07-21,12.23210
101069,2006-07-24,12.25200
101069,2006-07-25,12.38740
101069,2006-07-26,12.57130
101069,2006-07-27,12.63940
101069,2006-07-28,12.59540
101069,2006-07-31,12.64200
101069,2006-08-01,12.60840
101069,2006-08-02,12.68720
101069,2006-08-03,12.70230
101069,2006-08-04,12.63810
101069,2006-08-07,12.59240
101069,2006-08-08,12.74170
101069,2006-08-09,12.91080
101069,2006-08-10,12.96120
101069,2006-08-11,13.04840
101069,2006-08-14,13.15140
101069,2006-08-16,13.26350
101069,2006-08-17,13.25410
101069,2006-08-18,13.28810
101069,2006-08-21,13.36330
101069,2006-08-22,13.27250
101069,2006-08-23,13.17030
101069,2006-08-24,13.30610
101069,2006-08-25,13.32540
101069,2006-08-28,13.42270
101069,2006-08-29,13.43710
101069,2006-08-30,13.46560
101069,2006-08-31,13.50470
101069,2006-09-01,13.54500
101069,2006-09-04,13.63580
101069,2006-09-05,13.63000
101069,2006-09-06,13.70280
101069,2006-09-07,13.64650
101069,2006-09-08,13.71810
101069,2006-09-11,13.36950
101069,2006-09-12,13.42360
101069,2006-09-13,13.60780
101069,2006-09-14,13.64410
101069,2006-09-15,13.68310
101069,2006-09-18,13.85290
101069,2006-09-19,13.71180
101069,2006-09-20,13.83400
101069,2006-09-21,14.00370
101069,2006-09-22,13.95950
101069,2006-09-25,13.89090
101069,2006-09-26,13.99990
101069,2006-09-27,14.03310
101069,2006-09-28,13.96150
101069,2006-09-29,14.05990
101069,2006-10-03,14.03250
101069,2006-10-04,13.88730
101069,2006-10-05,14.06860
101069,2006-10-06,14.14710
101069,2006-10-09,14.16300
101069,2006-10-10,14.16040
101069,2006-10-11,14.06370
101069,2006-10-12,14.23590
101069,2006-10-13,14.31720
101069,2006-10-16,14.42430
101069,2006-10-17,14.34400
101069,2006-10-18,14.34280
101069,2006-10-19,14.21880
101069,2006-10-20,14.19240
101069,2006-10-23,14.17690
101069,2006-10-26,14.17710
101069,2006-10-27,14.31080
101069,2006-10-30,14.44200
101069,2006-10-31,14.45690
101069,2006-11-01,14.57570
101069,2006-11-02,14.62980
101069,2006-11-03,14.67100
101069,2006-11-06,14.73150
101069,2006-11-07,14.65730
101069,2006-11-08,14.54500
101069,2006-11-09,14.57520
101069,2006-11-10,14.67730
101069,2006-11-13,14.74040
101069,2006-11-14,14.74520
101069,2006-11-15,14.69860
101069,2006-11-16,14.69370
101069,2006-11-17,14.62740
101069,2006-11-20,14.52560
101069,2006-11-21,14.89700
101069,2006-11-22,14.95450
101069,2006-11-23,14.92690
101069,2006-11-24,14.98810
101069,2006-11-27,15.01170
101069,2006-11-28,14.86150
101069,2006-11-29,14.90640
101069,2006-11-30,15.00640
101069,2006-12-01,15.15630
101069,2006-12-04,15.30960
101069,2006-12-05,15.34630
101069,2006-12-06,15.24780
101069,2006-12-07,15.29310
101069,2006-12-08,15.12670
101069,2006-12-11,14.71460
101069,2006-12-12,14.20370
101069,2006-12-13,14.48700
101069,2006-12-14,14.84980
