Date,NAV
2015-08-04,10.97230
2015-08-05,10.97390
2015-08-06,10.97810
2015-08-07,10.98130
2015-08-10,10.98960
2015-08-11,10.99330
2015-08-12,10.99870
2015-08-13,11.00520
2015-08-14,11.00800
2015-08-17,11.01580
2015-08-19,11.02060
2015-08-20,11.02250
2015-08-21,11.02390
2015-08-24,11.02460
2015-08-25,11.02700
2015-08-26,11.02940
2015-08-27,11.03360
2015-08-28,11.03560
2015-08-31,11.04250
2015-09-01,11.04560
2015-09-02,11.04550
2015-09-03,11.03880
2015-09-04,11.03780
2015-09-07,11.04190
2015-09-08,11.04320
2015-09-09,11.04910
2015-09-10,11.04010
2015-09-11,11.04310
2015-09-14,11.04920
2015-09-15,11.05330
2015-09-16,11.05470
2015-09-18,11.06320
2015-09-21,11.07190
2015-09-22,11.07610
2015-09-23,11.07710
2015-09-24,11.08320
2015-09-28,11.09600
2015-09-29,11.12300
2015-09-30,11.13530
2015-10-01,11.13600
2015-10-05,11.15080
2015-10-06,11.15260
2015-10-07,11.15880
2015-10-08,11.16300
2015-10-09,11.16290
2015-10-12,11.16960
2015-10-13,11.17400
2015-10-14,11.18150
2015-10-15,11.18370
2015-10-16,11.18840
2015-10-19,11.19690
2015-10-20,11.20040
2015-10-21,11.20080
2015-10-23,11.20840
2015-10-26,11.21520
2015-10-27,11.21790
2015-10-28,11.22100
2015-10-29,11.22290
2015-10-30,11.22260
2015-11-02,11.22980
2015-11-03,11.23090
2015-11-04,11.23180
2015-11-05,11.23220
2015-11-06,11.23390
2015-11-09,11.23870
2015-11-10,11.24080
2015-11-13,11.25100
2015-11-16,11.26020
2015-11-17,11.26290
2015-11-18,11.26480
2015-11-19,11.26720
2015-11-20,11.26820
2015-11-23,11.27550
2015-11-24,11.27770
2015-11-26,11.28220
2015-11-27,11.28300
2015-11-30,11.28770
2015-12-01,11.29040
2015-12-02,11.29320
2015-12-03,11.29640
2015-12-04,11.29720
2015-12-07,11.30100
2015-12-08,11.29800
2015-12-09,11.29720
2015-12-10,11.29880
2015-12-11,11.29290
2015-12-14,11.28990
2015-12-15,11.28860
2015-12-16,11.29340
2015-12-17,11.29660
2015-12-18,11.30120
2015-12-21,11.30880
2015-12-22,11.31230
2015-12-23,11.31070
2015-12-28,11.32190
2015-12-29,11.32410
2015-12-30,11.32910
2015-12-31,11.33460
2016-01-01,11.33980
2016-01-04,11.34970
2016-01-05,11.35180
2016-01-06,11.35610
2016-01-07,11.35980
2016-01-08,11.36170
2016-01-11,11.36960
2016-01-12,11.36740
2016-01-13,11.36740
2016-01-14,11.36690
2016-01-15,11.36490
2016-01-18,11.37230
2016-01-19,11.37590
2016-01-20,11.37710
2016-01-21,11.38170
2016-01-22,11.38400
2016-01-25,11.39170
2016-01-27,11.39490
2016-01-28,11.39500
2016-01-29,11.39610
2016-02-01,11.40340
2016-02-02,11.40340
2016-02-03,11.40090
2016-02-04,11.40260
2016-02-05,11.40360
2016-02-08,11.41120
2016-02-09,11.41450
2016-02-10,11.41760
2016-02-11,11.42130
2016-02-12,11.42170
2016-02-15,11.43190
2016-02-16,11.43440
2016-02-17,11.43520
2016-02-18,11.43670
2016-02-22,11.44550
2016-02-23,11.43970
2016-02-24,11.43660
2016-02-25,11.43310
2016-02-26,11.43610
2016-02-29,11.45780
2016-03-01,11.46270
2016-03-02,11.46880
2016-03-03,11.47470
2016-03-04,11.47850
2016-03-08,11.48810
2016-03-09,11.49080
2016-03-10,11.49410
2016-03-11,11.49510
2016-03-14,11.50870
2016-03-15,11.51240
2016-03-16,11.51790
2016-03-17,11.52430
2016-03-18,11.52870
2016-03-21,11.54170
2016-03-22,11.54140
2016-03-23,11.53960
2016-03-28,11.55170
2016-03-29,11.55360
2016-03-30,11.55890
2016-03-31,11.57790
2016-04-04,11.60490
2016-04-05,11.61400
2016-04-06,11.61410
2016-04-07,11.61910
2016-04-11,11.62960
2016-04-12,11.63240
2016-04-13,11.63750
2016-04-18,11.65170
2016-04-20,11.65580
2016-04-21,11.65700
2016-04-22,11.65970
2016-04-25,11.66500
2016-04-26,11.66740
2016-04-27,11.66780
2016-04-28,11.66830
2016-04-29,11.66920
2016-05-02,11.67550
2016-05-03,11.67780
2016-05-04,11.68240
2016-05-05,11.68500
2016-05-06,11.68670
2016-05-09,11.69500
2016-05-10,11.69880
2016-05-11,11.70100
2016-05-12,11.70360
2016-05-13,11.70570
2016-05-16,11.71330
2016-05-17,11.71560
2016-05-18,11.71910
2016-05-19,11.72170
2016-05-20,11.72350
